,HVAC Heating Efficiency
"Fuel Furnace, 80% AFUE",0.29284470752089137
"Fuel Furnace, 92.5% AFUE",0.14221796657381616
"Electric Furnace, 100% AFUE",0.11370125348189415
Shared Heating,0.08450557103064067
"Electric Baseboard, 100% Efficiency",0.07806406685236769
"Fuel Boiler, 80% AFUE",0.06422353760445683
"Fuel Wall/Floor Furnace, 68% AFUE",0.05456128133704735
"Fuel Furnace, 76% AFUE",0.04227019498607242
"Fuel Wall/Floor Furnace, 60% AFUE",0.026375348189415043
None,0.025940111420612814
"ASHP, SEER 13, 7.7 HSPF",0.025121866295264625
Other,0.02278899721448468
"Fuel Boiler, 76% AFUE",0.009766713091922006
"ASHP, SEER 15, 8.5 HSPF",0.00665041782729805
"Fuel Furnace, 60% AFUE",0.0052054317548746514
"ASHP, SEER 10, 6.2 HSPF",0.0023850974930362118
"Electric Wall Furnace, 100% AFUE",0.0014972144846796657
"Electric Boiler, 100% AFUE",0.00141016713091922
"Fuel Boiler, 90% AFUE",0.00047005571030640667
