,Water Heater Efficiency
Natural Gas Standard,0.5607764623955431
Natural Gas Premium,0.24427228412256266
Electric Standard,0.09972144846796657
Propane Standard,0.031058495821727018
Electric Premium,0.029091225626740946
Natural Gas Tankless,0.018123259052924792
Propane Premium,0.009018105849582172
Electric Tankless,0.0037604456824512533
Other Fuel,0.002663649025069638
"Electric Heat Pump, 80 gal",0.0006615598885793872
Fuel Oil Standard,0.0006441504178272981
Fuel Oil Premium,0.00012186629526462395
FIXME Fuel Oil Indirect,8.704735376044568e-05
